Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,702381,-,-,-,32.77,-96.78,-6,135,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2019,1,1,0,30,0,0,0,2.3000000000000003,2.9000000000000004,1003,95.87,352,5.1000000000000005,0.18
2019,1,1,1,30,0,0,0,1.2000000000000002,1.8,1004,96,357,5.6000000000000005,0.18
2019,1,1,2,30,0,0,0,-0.30000000000000004,0.8,1004,92.49,181,5.5,0.18
2019,1,1,3,30,0,0,0,-1.6,0.2,1004,87.64,1,5.2,0.18
2019,1,1,4,30,0,0,0,-2.5,-0.1,1005,83.88,180,4.9,0.18
2019,1,1,5,30,0,0,0,-3.1,-0.4,1005,81.88,359,4.800000000000001,0.18
2019,1,1,6,30,0,0,0,-3.6,-0.6000000000000001,1007,80.12,359,4.800000000000001,0.18
2019,1,1,7,30,6,50,6,-4.1000000000000005,-0.2,1008,75.18,359,5.1000000000000005,0.18
2019,1,1,8,30,45,484,130,-4.2,0.9,1009,68.57000000000001,181,5.5,0.18
2019,1,1,9,30,122,71,146,-4.1000000000000005,2.3000000000000003,1010,62.76,3,5.6000000000000005,0.18
2019,1,1,10,30,114,5,116,-3.1,3.8000000000000003,1010,60.69,3,5.2,0.18
2019,1,1,11,30,161,3,163,-1.9000000000000001,5.2,1008,60.14,5,4.9,0.18
2019,1,1,12,30,250,89,300,-0.8,6.2,1007,60.660000000000004,8,4.6000000000000005,0.18
2019,1,1,13,30,240,179,336,0,6.800000000000001,1006,62.11,12,4.3,0.18
2019,1,1,14,30,141,25,153,0.7000000000000001,6.7,1006,65.65,14,3.9000000000000004,0.18
2019,1,1,15,30,130,203,199,1.1,5.9,1006,71.08,14,3.5,0.18
2019,1,1,16,30,55,2,55,1.2000000000000002,4.800000000000001,1006,77.63,10,3.1,0.18
2019,1,1,17,30,3,3,3,1.3,4.2,1007,81.25,6,2.9000000000000004,0.18
2019,1,1,18,30,0,0,0,0.9,3.1,1008,85.76,358,3.6,0.18
2019,1,1,19,30,0,0,0,0.5,2.4000000000000004,1008,87.35000000000001,358,3.8000000000000003,0.18
2019,1,1,20,30,0,0,0,-0.1,1.8,1008,87.18,180,3.9000000000000004,0.18
2019,1,1,21,30,0,0,0,-0.6000000000000001,1.4000000000000001,1008,86.43,1,3.9000000000000004,0.18
2019,1,1,22,30,0,0,0,-1,1.2000000000000002,1008,85.02,3,3.9000000000000004,0.18
2019,1,1,23,30,0,0,0,-1.4000000000000001,0.9,1008,84.51,3,3.8000000000000003,0.18
2019,1,2,0,30,0,0,0,-1.7000000000000002,0.7000000000000001,1008,83.99,2,3.7,0.18
2019,1,2,1,30,0,0,0,-1.9000000000000001,0.5,1008,83.66,2,3.5,0.18
2019,1,2,2,30,0,0,0,-2.2,0.30000000000000004,1007,83.60000000000001,3,3.4000000000000004,0.18
2019,1,2,3,30,0,0,0,-2.3000000000000003,0.1,1007,84.10000000000001,177,3.6,0.18
2019,1,2,4,30,0,0,0,-2.4000000000000004,-0.1,1007,84.61,178,3.4000000000000004,0.18
2019,1,2,5,30,0,0,0,-2.3000000000000003,-0.2,1007,85.84,12,2.7,0.18
2019,1,2,6,30,0,0,0,-2.1,-0.2,1007,87.01,17,2.7,0.18
2019,1,2,7,30,1,0,1,-1.9000000000000001,0,1007,86.79,8,3.2,0.18
2019,1,2,8,30,8,0,8,-1.5,0.4,1008,86.83,4,3.7,0.18
2019,1,2,9,30,14,0,14,-1.1,0.9,1008,86.67,7,3.6,0.18
2019,1,2,10,30,25,0,25,-0.5,1.5,1007,86.75,13,3.1,0.18
2019,1,2,11,30,30,0,30,0.2,2,1005,87.58,18,2.7,0.18
2019,1,2,12,30,36,0,36,0.6000000000000001,2.3000000000000003,1004,88.78,23,2.7,0.18
2019,1,2,13,30,43,0,43,0.9,2.5,1002,89.44,28,2.8000000000000003,0.18
2019,1,2,14,30,30,0,30,1.2000000000000002,2.6,1002,90.61,33,2.7,0.18
2019,1,2,15,30,29,0,29,1.4000000000000001,2.5,1002,92.16,30,2.4000000000000004,0.18
2019,1,2,16,30,24,0,24,1.5,2.3000000000000003,1002,94.15,13,2.3000000000000003,0.18
2019,1,2,17,30,3,3,3,1.4000000000000001,2.1,1002,95.33,2,2.3000000000000003,0.18
2019,1,2,18,30,0,0,0,1.3,1.9000000000000001,1003,95.73,178,3.1,0.18
2019,1,2,19,30,0,0,0,1.1,1.7000000000000002,1003,95.81,5,3.2,0.18
2019,1,2,20,30,0,0,0,0.9,1.7000000000000002,1003,94.53,15,3,0.18
2019,1,2,21,30,0,0,0,0.8,1.6,1003,94.61,23,2.5,0.18
2019,1,2,22,30,0,0,0,0.8,1.6,1002,94.61,27,2.2,0.18
2019,1,2,23,30,0,0,0,0.9,1.7000000000000002,1002,94.48,28,2,0.18
2019,1,3,0,30,0,0,0,1,1.8,1002,94.52,26,1.9000000000000001,0.18
2019,1,3,1,30,0,0,0,1.1,1.9000000000000001,1001,94.54,17,1.8,0.18
2019,1,3,2,30,0,0,0,1.2000000000000002,1.8,1001,95.8,7,2,0.18
2019,1,3,3,30,0,0,0,1.2000000000000002,1.9000000000000001,1000,95.37,3,2.2,0.18
2019,1,3,4,30,0,0,0,1.3,1.9000000000000001,999,95.71000000000001,179,2.4000000000000004,0.18
2019,1,3,5,30,0,0,0,1.3,1.9000000000000001,999,95.98,348,2.5,0.18
2019,1,3,6,30,0,0,0,1.3,1.8,1000,96.66,342,2.4000000000000004,0.18
2019,1,3,7,30,1,1,1,1.2000000000000002,1.8,1001,95.78,347,2.4000000000000004,0.18
2019,1,3,8,30,12,0,12,1.2000000000000002,1.9000000000000001,1001,94.94,175,2.4000000000000004,0.18
2019,1,3,9,30,29,0,29,1.3,2.3000000000000003,1000,93.17,180,2.2,0.18
2019,1,3,10,30,65,0,65,1.6,2.9000000000000004,1000,91.22,354,2,0.18
2019,1,3,11,30,72,0,72,2,3.7,998,88.91,337,2,0.18
2019,1,3,12,30,176,10,182,2.4000000000000004,4.4,997,87.06,314,2.2,0.18
2019,1,3,13,30,146,4,148,2.6,4.6000000000000005,997,86.64,298,2.6,0.18
2019,1,3,14,30,114,1,114,2.4000000000000004,4.4,997,86.92,293,2.9000000000000004,0.18
2019,1,3,15,30,56,0,56,2.2,4.1000000000000005,997,87.2,293,2.9000000000000004,0.18
2019,1,3,16,30,22,0,22,2,3.4000000000000004,997,90.48,294,2.6,0.18
2019,1,3,17,30,3,2,3,1.6,2.9000000000000004,997,91.10000000000001,295,2.4000000000000004,0.18
2019,1,3,18,30,0,0,0,0.8,1.4000000000000001,998,96.10000000000001,295,2.4000000000000004,0.18
2019,1,3,19,30,0,0,0,0.1,0.5,997,96.88,294,2.4000000000000004,0.18
2019,1,3,20,30,0,0,0,-0.5,0,997,96.72,290,2.5,0.18
2019,1,3,21,30,0,0,0,-0.8,-0.30000000000000004,997,96.76,285,2.5,0.18
2019,1,3,22,30,0,0,0,-1,-0.5,997,96.52,282,2.6,0.18
2019,1,3,23,30,0,0,0,-1.2000000000000002,-0.7000000000000001,996,96.62,282,2.7,0.18
2019,1,4,0,30,0,0,0,-1.3,-0.9,996,96.88,282,2.9000000000000004,0.18
2019,1,4,1,30,0,0,0,-1.5,-1.1,996,97.12,284,3.1,0.18
2019,1,4,2,30,0,0,0,-1.7000000000000002,-1.3,996,97.36,286,3.2,0.18
2019,1,4,3,30,0,0,0,-1.8,-1.4000000000000001,996,97.11,286,3,0.18
2019,1,4,4,30,0,0,0,-1.9000000000000001,-1.1,997,94.35000000000001,288,3,0.18
2019,1,4,5,30,0,0,0,-1.7000000000000002,-0.4,997,91.13,292,3.5,0.18
2019,1,4,6,30,0,0,0,-1.1,0.2,998,91.18,295,3.9000000000000004,0.18
2019,1,4,7,30,7,59,6,-0.9,0.9,998,87.56,294,3.9000000000000004,0.18
2019,1,4,8,30,43,580,144,-0.2,2.6,999,81.5,294,3.8000000000000003,0.18
2019,1,4,9,30,57,787,321,0.8,4.9,999,74.66,298,3.6,0.18
2019,1,4,10,30,63,882,469,1.6,7.4,999,66.5,302,3.6,0.18
2019,1,4,11,30,68,926,567,2.3000000000000003,9.4,998,61.39,301,3.5,0.18
2019,1,4,12,30,70,938,602,3.1,11,997,58.38,298,3.3000000000000003,0.18
2019,1,4,13,30,68,933,574,4.1000000000000005,12.100000000000001,997,58.04,291,3.1,0.18
2019,1,4,14,30,66,890,482,4.9,12.600000000000001,998,59.6,284,2.8000000000000003,0.18
2019,1,4,15,30,60,806,338,5.6000000000000005,12,998,65.08,279,1.8,0.18
2019,1,4,16,30,43,636,162,7.6000000000000005,10.200000000000001,998,83.85000000000001,275,1.2000000000000002,0.18
2019,1,4,17,30,10,116,11,4.3,9.200000000000001,998,71.25,273,1.2000000000000002,0.18
2019,1,4,18,30,0,0,0,3.3000000000000003,9,999,67.47,257,1.1,0.18
2019,1,4,19,30,0,0,0,3,8.5,999,68.14,239,1.2000000000000002,0.18
2019,1,4,20,30,0,0,0,2.8000000000000003,7.300000000000001,1000,73.06,225,1.4000000000000001,0.18
2019,1,4,21,30,0,0,0,2.8000000000000003,5.9,1000,80.54,221,1.5,0.18
2019,1,4,22,30,0,0,0,2.9000000000000004,4.800000000000001,1000,87.73,222,1.5,0.18
2019,1,4,23,30,0,0,0,3,4,1000,93.34,225,1.5,0.18
2019,1,5,0,30,0,0,0,2.9000000000000004,3.4000000000000004,1000,96.72,229,1.5,0.18
2019,1,5,1,30,0,0,0,2.6,3,1000,97.29,233,1.4000000000000001,0.18
2019,1,5,2,30,0,0,0,2.2,2.7,1000,96.37,238,1.4000000000000001,0.18
2019,1,5,3,30,0,0,0,1.8,2.7,1000,93.55,245,1.4000000000000001,0.18
2019,1,5,4,30,0,0,0,1.4000000000000001,2.7,1000,91.29,255,1.3,0.18
2019,1,5,5,30,0,0,0,1.2000000000000002,2.6,1001,90.43,267,1.3,0.18
2019,1,5,6,30,0,0,0,1,2.4000000000000004,1001,90.63,279,1.2000000000000002,0.18
2019,1,5,7,30,7,76,6,1,3.7,1002,82.66,288,1.3,0.18
2019,1,5,8,30,39,640,151,2.9000000000000004,6.300000000000001,1003,78.73,293,1.4000000000000001,0.18
2019,1,5,9,30,54,829,332,3.6,8.8,1003,69.96000000000001,278,1.1,0.18
2019,1,5,10,30,62,913,482,5.2,11.700000000000001,1003,64.46000000000001,227,0.9,0.18
2019,1,5,11,30,67,949,580,5.9,14.3,1002,57.14,188,1.4000000000000001,0.18
2019,1,5,12,30,71,958,616,6.2,16.1,1001,51.69,183,2,0.18
2019,1,5,13,30,70,947,586,7.5,17.2,1000,52.94,184,2.3000000000000003,0.18
2019,1,5,14,30,68,905,493,8.200000000000001,17.6,1000,53.99,186,2.2,0.18
2019,1,5,15,30,62,815,346,9.8,16.2,1000,65.62,185,1.7000000000000002,0.18
